.1.3.6.1.4.1.2636.1.1.1.2	jnxProductName
.1.3.6.1.4.1.2636.1.1.1.3	jnxProductModel
.1.3.6.1.4.1.2636.1.1.3.3.6.3.8	jnxT640DualQHGE
.1.3.6.1.4.1.2636.1.1.3.3.10	jnxSubmoduleM7i
.1.3.6.1.4.1.2636.1.1.3.3.12	jnxSubmoduleGeneric
.1.3.6.1.4.1.2636.1.1.2.2.7.10	jnxT320SlotSPMB
.1.3.6.1.4.1.2636.1.1.3.3.4.1.3	jnxM10GigEther
.1.3.6.1.4.1.2636.1.1.3.1.5	jnxMidplaneM5
.1.3.6.1.4.1.2636.1.1.3.3.4.1.2	jnxM10SonetOc12
.1.3.6.1.4.1.2636.1.1.3.1.6	jnxMidplaneT640
.1.3.6.1.4.1.2636.1.1.3.1.3	jnxMidplaneM160
.1.3.6.1.4.1.2636.1.1.3.3.4.1.1	jnxM10QuadSonetOc3
.1.3.6.1.4.1.2636.1.1.3.1.4	jnxMidplaneM10
.1.3.6.1.4.1.2636.1.1.3.1.1	jnxBackplaneM40
.1.3.6.1.4.1.2636.1.1.3.1.2	jnxBackplaneM20
.1.3.6.1.4.1.2636.1.1.3.2.13.1	jnxJ2300FPC
.1.3.6.1.4.1.2636.1.1.3.3.4.1.9	jnxM10ChOc12toDs3
.1.3.6.1.4.1.2636.1.1.3.3.4.1.8	jnxM10Tunnel
.1.3.6.1.4.1.2636.1.1.3.3.4.1.7	jnxM10AtmOc12
.1.3.6.1.4.1.2636.1.1.3.3.4.1.6	jnxM10DualAtmOc3
.1.3.6.1.4.1.2636.1.1.3.2.13.2	jnxJ2300RE
.1.3.6.1.4.1.2636.1.1.3.3.4.1.5	jnxM10QuadE3
.1.3.6.1.4.1.2636.1.1.3.3.4.1.4	jnxM10QuadT3
.1.3.6.1.4.1.2636.1.1.3.2.11.3	jnxM10iRE
.1.3.6.1.4.1.2636.1.1.3.2.11.2	jnxM10iCFEB
.1.3.6.1.4.1.2636.1.1.3.2.11.1	jnxM10iFPC
.1.3.6.1.4.1.2636.1.1.3.2.11.6	jnxM10iHCM
.1.3.6.1.4.1.2636.1.1.3.2.11.5	jnxM10iFan
.1.3.6.1.4.1.2636.1.1.3.2.11.4	jnxM10iPower
.1.3.6.1.4.1.2636.1.1.3.1.9	jnxMidplaneM320
.1.3.6.1.4.1.2636.1.1.3.1.8	jnxMidplaneM40e
.1.3.6.1.4.1.2636.1.1.3.1.7	jnxMidplaneT320
.1.3.6.1.4.1.2636.1.1.3.2.7.9	jnxT320CIP
.1.3.6.1.4.1.2636.1.1.3.2.7.7	jnxT320CB
.1.3.6.1.4.1.2636.1.1.3.2.7.8	jnxT320FPB
.1.3.6.1.4.1.2636.1.1.3.2.7.5	jnxT320Power
.1.3.6.1.4.1.2636.1.1.3.2.7.6	jnxT320Fan
.1.3.6.1.4.1.2636.1.1.3.2.7.3	jnxT320HM
.1.3.6.1.4.1.2636.1.1.3.2.7.4	jnxT320SCG
.1.3.6.1.4.1.2636.1.1.3.2.7.1	jnxT320FPC
.1.3.6.1.4.1.2636.1.1.3.2.7.2	jnxT320SIB
.1.3.6.1.4.1.2636.1.1.1.3.11	jnxProductModelM10i
.1.3.6.1.4.1.2636.1.1.3.2.9.2	jnxM320SIB
.1.3.6.1.4.1.2636.1.1.1.3.10	jnxProductModelM7i
